Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Imprisoned in the Moon,INR,Innistrad Remastered,69,normal,common,1,102416,0d150547-09f5-45ce-a825-89944b066bd4,0.14,false,false,near_mint,en,EUR
Ecstatic Awakener // Awoken Demon,INR,Innistrad Remastered,107,normal,common,1,102716,abd587d8-2f71-4b3c-960a-d362133e967b,0.02,false,false,near_mint,en,EUR
Forbidden Alchemy,TDC,Tarkir: Dragonstorm Commander,152,normal,common,1,104432,04def7e3-10e4-4733-8c19-8fa6e4469086,0.08,false,false,near_mint,en,EUR
Runebound Wolf,INR,Innistrad Remastered,168,normal,uncommon,1,102666,8e220cc1-e13f-48da-b59b-91a556829ea5,0.05,false,false,near_mint,en,EUR
Niblis of the Urn,INR,Innistrad Remastered,35,normal,uncommon,1,102454,1ffd406d-92d3-47f1-8887-853958fd464e,0.08,false,false,near_mint,en,EUR
Maelstrom Pulse,INR,Innistrad Remastered,244,normal,rare,1,102577,66f17263-b916-40f4-b175-fcfd5630103d,0.23,false,false,near_mint,en,EUR
Village Rites,INR,Innistrad Remastered,137,normal,common,1,102519,42ed35e9-51cd-468a-86a9-9412553cf50d,0.2,false,false,near_mint,en,EUR
Geistcatcher's Rig,INR,Innistrad Remastered,264,normal,uncommon,1,102415,0b8f741c-919e-457d-8a02-c7282c1305ec,0.03,false,false,near_mint,en,EUR
Traveler's Amulet,INR,Innistrad Remastered,273,normal,common,1,102467,26a7e5f0-0d60-4118-ad10-b27c7382511a,0.07,false,false,near_mint,en,EUR
Stitched Mangler,INR,Innistrad Remastered,87,normal,common,1,102825,e90cb0f1-d6fa-4a73-83bb-8870e59b1d7d,0.03,false,false,near_mint,en,EUR
Dauntless Cathar,INR,Innistrad Remastered,19,normal,common,1,102745,b680d42c-8198-43b0-b934-2add08a02bbc,0.02,false,false,near_mint,en,EUR
Spore Crawler,INR,Innistrad Remastered,218,normal,common,1,102702,a2a37c40-6d33-4e32-ab7b-4a7c2d10b757,0.03,false,false,near_mint,en,EUR
Hungry Ridgewolf,INR,Innistrad Remastered,160,normal,common,1,102611,770fc080-ac42-4a5a-846f-6e49b4aaf4ba,0.03,false,false,near_mint,en,EUR
Murderous Compulsion,INR,Innistrad Remastered,126,normal,common,1,102563,5fca1faf-bd47-45cd-a2d9-b2efbc75cbb5,0.02,false,false,near_mint,en,EUR
Guardian of Pilgrims,INR,Innistrad Remastered,26,foil,common,1,102852,f87b5e18-d1a9-424b-bec5-6a80f7699600,0.03,false,false,near_mint,en,EUR
Laboratory Maniac,INR,Innistrad Remastered,71,normal,uncommon,1,102624,7a5be94c-08b8-4964-a79d-e22ea6e94be8,0.75,false,false,near_mint,en,EUR
Sever the Bloodline,INR,Innistrad Remastered,130,normal,uncommon,1,102703,a2d4152d-c128-453c-86f5-f2ebcfd48b98,0.04,false,false,near_mint,en,EUR
Scorned Villager // Moonscarred Werewolf,INR,Innistrad Remastered,212,normal,common,1,102836,ee539a5e-2d10-4666-9b52-5064562dd233,0.03,false,false,near_mint,en,EUR
Bound by Moonsilver,INR,Innistrad Remastered,13,normal,common,1,102573,647f5c2f-3ced-4397-a366-6f0e57582566,0.03,false,false,near_mint,en,EUR
Tower Geist,INR,Innistrad Remastered,93,normal,common,1,102652,88523d44-4469-4685-8f59-dbcf255e7fe0,0.02,false,false,near_mint,en,EUR
Crawl from the Cellar,INR,Innistrad Remastered,102,normal,common,1,102619,79563dd1-640c-4ebd-a347-0b71439b79d3,0.04,false,false,near_mint,en,EUR
Ancestral Anger,INR,Innistrad Remastered,141,normal,common,1,102837,eeaca66d-23bd-4e8f-8d4a-c5864dd447be,0.06,false,false,near_mint,en,EUR
Bloodmad Vampire,INR,Innistrad Remastered,145,normal,common,1,102662,8a9747c1-ef2c-4c61-9529-abfb6ae0f964,0.03,false,false,near_mint,en,EUR
Villagers of Estwald // Howlpack of Estwald,INR,Innistrad Remastered,224,normal,common,1,102480,319b65f6-a6e6-45ea-9837-bc5831f54205,0.02,false,false,near_mint,en,EUR
Graf Rats,INR,Innistrad Remastered,113,normal,uncommon,1,101894,f830ede6-ddbf-49b9-80cd-e3dbeccbf208,0.07,false,false,near_mint,en,EUR
Butcher's Cleaver,INR,Innistrad Remastered,256,normal,uncommon,1,102505,3c55bce1-8746-4554-9876-f443c37a125b,0.05,false,false,near_mint,en,EUR
Ghoulish Procession,INR,Innistrad Remastered,110,normal,uncommon,1,102760,c178227f-3b66-45f7-9838-dff70f1f2003,0.2,false,false,near_mint,en,EUR
Vanquish the Horde,INR,Innistrad Remastered,49,normal,rare,1,102584,68dea60e-1bd9-4fb5-bb0c-668dfa9b1eee,0.72,false,false,near_mint,en,EUR
Mayor of Avabruck // Howlpack Alpha,INR,Innistrad Remastered,207,normal,rare,1,102839,ef84540b-a132-4169-b3c0-b0edeb395c9b,0.24,false,false,near_mint,en,EUR
Olivia Voldaren,INR,Innistrad Remastered,246,foil,mythic,1,102549,561d616c-df11-4144-acec-f9fe47efa5c7,4.42,false,false,near_mint,en,EUR
Wild-Field Scarecrow,INR,Innistrad Remastered,274,normal,common,2,102429,13629238-f907-47b7-bdba-164e38c7b6d2,0.05,false,false,near_mint,en,EUR
Desperate Farmer // Depraved Harvester,INR,Innistrad Remastered,105,normal,common,1,102418,0ec488de-fded-4df9-97ed-ba46cbacfdbf,0.05,false,false,near_mint,en,EUR
Gisa's Bidding,INR,Innistrad Remastered,111,normal,common,1,102557,5ad2fdbf-4a68-42e8-9c4f-7a075261ddf8,0.07,false,false,near_mint,en,EUR
Blood Petal Celebrant,INR,Innistrad Remastered,144,normal,common,1,102686,96db3d95-c0b8-42ff-956c-837f5f9cd40d,0.03,false,false,near_mint,en,EUR
Abundant Growth,INR,Innistrad Remastered,184,normal,common,1,102789,d15adc93-1a71-453b-8277-4a525a9cbc7b,0.09,false,false,near_mint,en,EUR
Crusader of Odric,INR,Innistrad Remastered,18,normal,common,1,102799,d6ae6566-3df8-4e09-b487-f0362622ca04,0.03,false,false,near_mint,en,EUR
