Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Kishla Trawlers,TDM,Tarkir: Dragonstorm,50,normal,uncommon,1,104472,190fbc55-e8e9-4077-9532-1de7406baabf,0.03,false,false,near_mint,en,EUR
Essence Anchor,TDM,Tarkir: Dragonstorm,44,normal,uncommon,1,105026,e91c4509-918e-44ba-aa13-1991199fee9f,0.03,false,false,near_mint,en,EUR
Bewildering Blizzard,TDM,Tarkir: Dragonstorm,38,normal,uncommon,1,104807,91b25843-1aa0-484a-b6c7-0c284fe7214a,0.02,false,false,near_mint,en,EUR
Whirlwing Stormbrood // Dynamic Soar,TDM,Tarkir: Dragonstorm,234,normal,uncommon,1,104656,56a25eb1-bdb8-4f86-8d9a-3055ad1b2a13,0.03,false,false,near_mint,en,EUR
Spellscorn Coven // Take It Back,WOE,Wilds of Eldraine,237,normal,uncommon,2,85554,8c112f62-6034-4636-a75b-4a45bc916a91,0.05,false,false,near_mint,en,EUR
Horses of the Bruinen,LTR,The Lord of the Rings: Tales of Middle-earth,55,normal,uncommon,1,83659,f7725dc2-2654-4ffb-b6b3-510ae64ec6af,0.04,false,false,near_mint,en,EUR
Archive Dragon,WOE,Wilds of Eldraine,41,normal,uncommon,1,85313,2979104f-7570-487c-8024-131d7ee3ab91,0.05,false,false,near_mint,en,EUR
Threadbind Clique // Rip the Seams,WOE,Wilds of Eldraine,239,normal,uncommon,1,85769,dd6ed252-c262-4062-97ba-75c50d6b5579,0.06,false,false,near_mint,en,EUR
Tenacious Tomeseeker,WOE,Wilds of Eldraine,74,normal,uncommon,1,85710,c40be735-0780-459b-8dd2-a298575beaab,0.07,false,false,near_mint,en,EUR
Icewrought Sentry,WOE,Wilds of Eldraine,55,normal,uncommon,1,85535,859419d3-cd15-4362-98b3-a7ff98e29692,0.13,false,false,near_mint,en,EUR
Bitter Chill,WOE,Wilds of Eldraine,44,normal,uncommon,1,85543,888e3c71-e21d-4e77-b1b6-09769f9cd3d6,0.08,false,false,near_mint,en,EUR
Surveillance Monitor,MKM,Murders at Karlov Manor,73,normal,uncommon,1,90957,703b874d-6739-4063-9891-e9c040dd9618,0.04,false,false,near_mint,en,EUR
Eliminate the Impossible,MKM,Murders at Karlov Manor,54,normal,uncommon,1,90839,486f1cc2-c162-448e-91a9-577d7d796584,0.09,false,false,near_mint,en,EUR
Mistway Spy,MKM,Murders at Karlov Manor,65,normal,uncommon,1,91273,e8578839-046f-4afd-a0e7-4737ded9e6eb,0.05,false,false,near_mint,en,EUR
Sudden Setback,MKM,Murders at Karlov Manor,72,normal,uncommon,1,90647,0b9e5fd6-a5ea-4ae5-83f5-89ed6a658dd3,0.03,false,false,near_mint,en,EUR
Nightveil Sprite,MKC,Murders at Karlov Manor Commander,113,normal,uncommon,1,90428,82f806fe-3970-4ae2-b232-d99002d46062,0.03,false,false,near_mint,en,EUR
Agency Outfitter,MKM,Murders at Karlov Manor,38,normal,uncommon,1,91008,8112f133-535e-4264-8357-9cbf97957710,0.04,false,false,near_mint,en,EUR
Case of the Filched Falcon,MKM,Murders at Karlov Manor,44,normal,uncommon,1,90729,266be5bd-71ba-4511-8b71-d0b03885a28d,0.07,false,false,near_mint,en,EUR
"Elrond, Lord of Rivendell",LTR,The Lord of the Rings: Tales of Middle-earth,49,normal,uncommon,2,83369,a62a5e55-fa1b-4c70-9293-740dd513d52e,0.08,false,false,near_mint,en,EUR
Constrictor Sage,TDM,Tarkir: Dragonstorm,39,normal,uncommon,2,105156,b2f160d7-c832-4b83-8f2e-aaeb190add3f,0.03,false,false,near_mint,en,EUR
Saruman the White,LTR,The Lord of the Rings: Tales of Middle-earth,67,normal,uncommon,2,82903,1bfccbab-29fa-4e92-8919-6cd4815fb655,0.09,false,false,near_mint,en,EUR
Ureni's Rebuff,TDM,Tarkir: Dragonstorm,63,normal,uncommon,2,104310,722716df-9cea-40a7-924b-c28497e227e6,0.03,false,false,near_mint,en,EUR
